station_name,county,latitude,longitude,nominal_depth,organic_matter,sand,silt,clay,textural_class,bulk_density,particle_density,porosity,field_capacity,wilting_point
Garden City,Finney,37.99854,-100.81519,20,2.1,26,50,24,silt loam,1.25,2.23,43.7,39.6,17.4
Garden City,Finney,37.99854,-100.81519,50,1.4,15,52,33,silty clay loam,1.36,2.66,48.8,44.4,22.5
Spearville,Ford,37.90244,-99.86962,5,2.8,16,57,27,silt loam,1.38,2.62,47.2,40.4,17.8
Spearville,Ford,37.90244,-99.86962,10,3.0,13,61,25,silt loam,1.26,2.64,52.3,40.5,17.1
Spearville,Ford,37.90244,-99.86962,20,3.0,14,59,27,silt loam,1.23,2.63,53.4,39.0,16.7
Spearville,Ford,37.90244,-99.86962,50,2.0,10,55,35,silty clay loam,1.37,2.69,49.1,39.7,22.8
Hodgeman,Hodgeman,38.10062,-99.90163,5,3.0,14,62,24,silt loam,1.35,2.63,48.6,45.0,15.3
Hodgeman,Hodgeman,38.10062,-99.90163,10,2.5,13,59,28,silty clay loam,1.29,2.64,51.1,40.1,17.9
Hodgeman,Hodgeman,38.10062,-99.90163,20,2.3,12,51,37,silty clay loam,1.36,2.74,50.3,42.8,22.9
Hodgeman,Hodgeman,38.10062,-99.90163,50,1.3,7,50,42,silty clay,1.55,2.72,42.8,40.8,36.0
Lane,Lane,38.50886,-100.61475,5,2.0,14,56,31,silty clay loam,1.19,2.47,51.9,37.5,18.4
Lane,Lane,38.50886,-100.61475,10,2.0,10,42,48,silty clay ,1.29,2.68,52.0,42.7,31.9
Lane,Lane,38.50886,-100.61475,20,2.0,10,45,45,silty clay ,1.4,2.70,48.0,42.8,33.8
Lane,Lane,38.50886,-100.61475,50,1.3,11,62,27,silt loam,1.37,2.74,49.8,43.1,28.9
Leoti,Wichita,38.48332,-101.32774,5,2.7,18,56,26,silt loam,1.33,2.58,48.4,41.7,21.6
Leoti,Wichita,38.48332,-101.32774,10,2.4,16,59,24,silt loam,1.36,2.58,47.3,38.6,22.7
Leoti,Wichita,38.48332,-101.32774,20,2.2,14,56,29,silty clay loam,1.5,2.61,42.8,41.5,26.7
Leoti,Wichita,38.48332,-101.32774,50,1.6,12,56,32,silty clay loam,1.32,2.71,51.1,43.1,26.8
Tribune,Greeley,38.46613,-101.77518,5,3.0,25,47,28,clay loam,1.36,2.74,50.2,44.2,21.5
